1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,class
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,C,B,B,B,B,B,C,B,B,D,A,A,A,A,B,B,A,A,B,A,C,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,B,C,C,A,B,B,C,D,B,C,D,A,A,A,A,C,B,B,A,A,A,B,FALSE
A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,C,C,D,C,D,D,D,B,D,D,D,A,A,A,A,D,D,C,A,B,A,C,FALSE
A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,D,A,A,C,A,A,A,B,A,A,A,B,A,A,B,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,A,A,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,A,C,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,B,A,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,B,A,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,B,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,B,B,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,C,A,A,A,A,A,D,A,A,D,A,A,A,A,A,A,A,A,C,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,C,A,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,A,C,B,A,A,A,A,D,A,A,D,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,B,A,C,A,A,B,B,D,A,B,D,A,A,A,A,B,B,B,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,B,B,B,A,B,A,A,D,B,A,D,A,A,A,A,A,B,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,B,B,B,C,D,D,D,B,D,D,D,A,A,A,B,D,D,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,B,C,A,B,A,A,A,C,A,A,D,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,A,A,A,D,A,A,A,B,D,A,B,A,A,A,C,A,A,D,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,A,A,A,A,D,A,A,C,A,A,A,B,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,B,B,A,A,C,B,A,C,A,A,A,B,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,C,A,B,B,B,D,B,B,C,A,A,A,B,B,B,B,A,A,A,B,FALSE
