@relation 'PC3_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 36 {A,C,B,D}
@attribute 10 {A,B,C,D}
@attribute 14 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 12 {D,A,B,C}
@attribute 15 {A,D,C,B}
@attribute 16 {B,C,A,D}
@attribute 17 {C,B,A,D}
@attribute 11 {A,B,C,D}
@attribute 37 {C,B,A,D}
@attribute 18 {B,C,D,A}
@attribute 4 {A,C,D}
@attribute 2 {A,B,C,D}
@attribute 3 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 8 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 7 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 19 {B,A,C,D}
@attribute 20 {B,D,A,C}
@attribute 29 {A,B,C,D}
@attribute 31 {B,C,D,A}
@attribute 32 {B,D,A,C}
@attribute 33 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute 35 {B,A,C,D}
@attribute 30 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 21 {B,D,A,C}
@attribute 27 {A,B,C,D}
@attribute 22 {B,C,D,A}
@attribute 23 {C,D,B,A}
@attribute 24 {B,D,A,C}
@attribute 25 {B,C,D,A}
@attribute 26 {D,C,A,B}
@attribute 1 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,D,A,B,C,A,C,B,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,B,C,B,B,D,A,FALSE
A,A,A,A,D,A,B,C,A,B,C,A,A,A,A,A,A,A,A,A,B,A,C,B,B,A,A,A,A,B,A,C,D,B,C,D,A,FALSE
A,A,A,A,D,A,C,C,A,C,D,A,A,A,A,A,A,A,A,C,D,A,D,D,C,A,B,A,A,D,A,D,B,D,D,D,A,FALSE
A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,D,A,A,C,A,FALSE
A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,FALSE
A,A,A,A,D,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,FALSE
A,A,A,A,D,A,A,A,A,A,C,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,FALSE
A,A,A,A,D,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,FALSE
A,A,A,A,D,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,D,A,A,D,A,FALSE
A,A,A,A,D,A,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,D,A,FALSE
