@relation 'PC3_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -W -M -1 -D 1 -K 10 -A 2-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 1 {A,B,C,D}
@attribute 26 {D,C,A,B}
@attribute 10 {A,B,C,D}
@attribute 18 {B,C,D,A}
@attribute 30 {A,B,C,D}
@attribute 36 {A,C,B,D}
@attribute 9 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 11 {A,B,C,D}
@attribute 35 {B,A,C,D}
@attribute 12 {D,A,B,C}
@attribute 4 {A,C,D}
@attribute 3 {A,B,C,D}
@attribute 8 {A,B,C,D}
@attribute 17 {C,B,A,D}
@attribute 23 {C,D,B,A}
@attribute 24 {B,D,A,C}
@attribute 20 {B,D,A,C}
@attribute 16 {B,C,A,D}
@attribute 14 {A,B,C,D}
@attribute 19 {B,A,C,D}
@attribute 29 {A,B,C,D}
@attribute 33 {A,B,C,D}
@attribute 37 {C,B,A,D}
@attribute 15 {A,D,C,B}
@attribute 21 {B,D,A,C}
@attribute 22 {B,C,D,A}
@attribute 31 {B,C,D,A}
@attribute 27 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 7 {A,B,C,D}
@attribute 32 {B,D,A,C}
@attribute 25 {B,C,D,A}
@attribute 2 {A,B,C,D}
@attribute 28 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 34 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
A,D,A,B,A,A,A,A,A,B,D,A,A,A,C,C,B,B,B,A,B,A,A,C,A,B,B,B,A,A,A,B,B,A,A,A,A,FALSE
A,D,A,C,A,A,A,A,A,A,D,A,A,A,C,D,B,B,B,A,A,A,B,B,A,B,C,C,A,A,A,B,C,A,A,A,A,FALSE
A,D,A,D,A,A,A,A,A,B,D,A,A,A,C,B,D,D,C,A,C,A,C,C,A,D,D,D,A,A,A,D,D,A,A,A,A,FALSE
A,C,A,B,B,A,A,A,A,A,A,A,A,B,B,D,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,D,A,A,B,A,A,A,A,A,D,A,A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,B,B,A,A,A,A,A,D,A,A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,C,B,A,A,A,A,A,D,A,A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,A,B,A,A,A,A,A,D,A,A,B,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,A,B,A,A,A,A,A,D,A,A,B,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,D,A,B,B,A,A,A,A,A,D,A,A,B,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,A,A,A,A,A,A,C,D,A,A,B,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,A,B,A,A,A,A,A,D,A,A,B,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,B,B,A,A,A,A,A,D,A,A,B,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,C,A,A,A,A,A,A,D,A,A,B,A,D,A,A,B,A,A,A,B,B,A,B,B,B,A,A,A,B,B,A,A,A,A,FALSE
A,D,A,B,A,A,A,A,A,A,D,A,A,B,B,D,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,FALSE
A,D,A,B,B,A,A,A,A,A,D,A,A,B,B,B,D,D,B,A,C,A,A,B,A,D,D,D,A,A,A,D,D,A,A,A,A,FALSE
A,D,A,A,A,A,A,A,A,A,D,A,A,B,C,C,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,D,A,A,A,A,A,A,A,A,D,A,A,B,D,C,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,A,B,A,B,A,A,A,A,A,A,B,B,D,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,A,B,A,B,A,A,A,A,A,A,B,B,C,B,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,C,B,A,B,A,A,A,A,A,A,B,B,D,B,B,B,A,A,A,B,B,A,B,B,B,A,A,A,B,B,A,A,A,A,FALSE
A,C,B,A,B,A,B,A,A,A,A,A,A,B,C,D,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,A,B,A,B,A,A,A,A,A,A,B,C,B,B,B,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,A,B,A,B,A,A,A,A,A,A,B,C,B,B,B,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,C,B,B,B,A,B,A,A,A,A,A,A,B,C,D,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,B,B,B,A,B,A,A,A,A,A,A,B,C,B,B,B,B,A,C,A,A,B,A,B,B,B,A,A,A,B,B,A,A,A,A,FALSE
A,C,B,B,B,A,B,A,A,B,A,A,A,B,D,B,C,C,B,A,C,A,A,C,A,B,C,C,A,A,A,B,C,A,A,A,A,FALSE
